RMSE,Model
-1,"ARIMA(1,0,1)"
-1,"ARIMA(1,0,3)"
-1,"ARIMA(1,1,2)"
-1,"ARIMA(1,1,3)"
-1,"ARIMA(1,2,1)"
-1,"ARIMA(1,2,2)"
-1,"ARIMA(1,2,3)"
-1,"ARIMA(1,3,0)"
-1,"ARIMA(1,3,1)"
-1,"ARIMA(1,3,2)"
-1,"ARIMA(1,3,3)"
-1,"ARIMA(2,0,1)"
-1,"ARIMA(2,0,2)"
-1,"ARIMA(2,0,3)"
-1,"ARIMA(2,1,2)"
-1,"ARIMA(2,1,3)"
-1,"ARIMA(2,2,1)"
-1,"ARIMA(2,2,2)"
-1,"ARIMA(2,2,3)"
-1,"ARIMA(2,3,0)"
-1,"ARIMA(2,3,1)"
-1,"ARIMA(2,3,2)"
-1,"ARIMA(2,3,3)"
-1,"ARIMA(3,0,1)"
-1,"ARIMA(3,0,2)"
-1,"ARIMA(3,0,3)"
-1,"ARIMA(3,1,2)"
-1,"ARIMA(3,1,3)"
-1,"ARIMA(3,2,1)"
-1,"ARIMA(3,2,2)"
-1,"ARIMA(3,2,3)"
-1,"ARIMA(3,3,0)"
-1,"ARIMA(3,3,1)"
-1,"ARIMA(3,3,2)"
-1,"ARIMA(3,3,3)"
-1,"ARIMA(4,0,1)"
-1,"ARIMA(4,0,2)"
-1,"ARIMA(4,0,3)"
-1,"ARIMA(4,1,2)"
-1,"ARIMA(4,1,3)"
-1,"ARIMA(4,2,2)"
-1,"ARIMA(4,2,3)"
-1,"ARIMA(4,3,0)"
-1,"ARIMA(4,3,1)"
-1,"ARIMA(4,3,2)"
-1,"ARIMA(4,3,3)"
-1,"ARIMA(5,0,1)"
-1,"ARIMA(5,0,2)"
-1,"ARIMA(5,0,3)"
-1,"ARIMA(5,1,2)"
-1,"ARIMA(5,1,3)"
-1,"ARIMA(5,2,1)"
-1,"ARIMA(5,2,2)"
-1,"ARIMA(5,2,3)"
-1,"ARIMA(5,3,0)"
-1,"ARIMA(5,3,1)"
-1,"ARIMA(5,3,2)"
-1,"ARIMA(5,3,3)"
68.5191476207107,"ARIMA(4,2,1)"
75.43165607969365,"ARIMA(2,1,0)"
81.54505818327193,"ARIMA(4,1,0)"
81.91776853818934,"ARIMA(5,2,0)"
82.43975079707963,"ARIMA(4,1,1)"
83.41659206493539,"ARIMA(5,1,0)"
83.65963359584875,"ARIMA(3,1,0)"
83.68802957231384,"ARIMA(1,1,1)"
84.38819782708232,"ARIMA(1,1,0)"
84.53329266207888,"ARIMA(3,1,1)"
85.39878414585341,"ARIMA(1,0,2)"
86.90703601435136,"ARIMA(5,1,1)"
87.15693899274397,"ARIMA(4,2,0)"
88.08918729587019,"ARIMA(2,1,1)"
97.68928778247516,"ARIMA(3,0,0)"
98.32210882216688,"ARIMA(5,0,0)"
99.30233033714399,"ARIMA(2,2,0)"
99.42950988669337,"ARIMA(4,0,0)"
100.87902936074171,"ARIMA(2,0,0)"
102.53426034315466,"ARIMA(3,2,0)"
136.41115589855903,"ARIMA(1,2,0)"
152.02982571869796,"ARIMA(1,0,0)"
