Model,Execution Time (sec),MAE,MSE,RMSE
"SpeedDifference_sarimax(2,2,3)(0,1,1,24)_predictions_15_crossvalidation_3",202.608882188797,4.61916635700064,32.780168976126,5.725396840056242
"SpeedDifference_sarima(2,2,3)(0,1,1,24)_predictions_15_crossvalidation_3",174.70267033576965,4.624295336890474,32.9216699389102,5.737740839294696
"SpeedDifference_sarima(4,2,3)(0,1,1,24)_predictions_15_crossvalidation_3",265.1733717918396,4.618567986629622,33.69149695559036,5.80443769503906
"SpeedDifference_sarimax(4,2,3)(0,1,1,24)_predictions_15_crossvalidation_3",288.45077109336853,4.609171773189116,34.06208184629276,5.83627294138072
"SpeedDifference_sarima(2,2,3)(0,0,1,24)_predictions_15_crossvalidation_3",61.80582070350647,4.935877772639826,41.13957204306746,6.4140137233301475
"SpeedDifference_sarimax(2,2,3)(0,0,1,24)_predictions_15_crossvalidation_3",77.69532299041748,4.954610180623994,41.5688859855885,6.447393735889603
"SpeedDifference_sarimax(4,2,3)(0,0,1,24)_predictions_15_crossvalidation_3",85.72615432739258,4.808064833539034,41.62526346123707,6.451764368080802
"SpeedDifference_sarima(4,2,3)(0,0,1,24)_predictions_15_crossvalidation_3",81.8337755203247,4.8455989337533305,41.94135660333219,6.47621468168962
"SpeedDifference_arima(2,2,3)_predictions_15_crossvalidation_3",14.935438871383667,5.3970920899117,51.8794287475878,7.202737587028129
"SpeedDifference_arima(4,2,3)_predictions_15_crossvalidation_3",15.824863910675049,5.760981212412381,57.565632892065224,7.587201914544335
"SpeedDifference_arimax(4,2,3)_predictions_15_crossvalidation_3",18.692053079605103,5.838689632379707,58.897960640298614,7.674500676936488
"SpeedDifference_arimax(2,2,3)_predictions_15_crossvalidation_3",16.672024965286255,5.728510529183795,60.26037727824439,7.762755778603652
